procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 1162396 129356 1031644    0    0     0   412  400  777 94  6  0  0  0
 2  0      0 1162024 129356 1031644    0    0     0     0  357  656 95  5  0  0  0
 1  0      0 1162024 129356 1031644    0    0     0     0  331  362 98  2  0  0  0
 1  0      0 1162024 129364 1031644    0    0     0    12  349  489 97  3  0  0  0
 1  0      0 1162024 129364 1031644    0    0     0     0  322  337 98  2  0  0  0
 2  0      0 1162024 129364 1031644    0    0     0     8  329  342 98  2  0  0  0
 1  0      0 1162024 129364 1031644    0    0     0     0  319  317 97  3  0  0  0
 1  0      0 1162024 129364 1031644    0    0     0     0  336  331 99  1  0  0  0
 1  0      0 1162024 129364 1031644    0    0     0     0  318  340 96  4  0  0  0
 1  0      0 1162024 129372 1031644    0    0     0    20  344  363 97  3  0  0  0
 1  0      0 1162024 129396 1031696    0    0    24  1444  343  500 97  3  0  0  0
 1  0      0 1162024 129396 1031692    0    0     0     0  335  344 99  1  0  0  0
 2  0      0 1162024 129396 1031692    0    0     0     0  367  607 95  5  0  0  0
